wkt,Parcel Type.ID
"POLYGON((-81.432531244659 43.7448022884458, -81.4345899565706 43.7421582988982, -81.4404649933173 43.7445624557007, -81.4424599480514 43.7419424368647, -81.4398413016016 43.7408091483013, -81.4359552411524 43.7391601878679, -81.4332495477714 43.742628805248, -81.4324511049063 43.7436523014425, -81.4330578372147 43.743869371015, -81.4327008589038 43.7443119171837, -81.4325518333059 43.7444973222827, -81.4319827946475 43.7442525907785, -81.431907791375 43.7443487311205, -81.4318187969489 43.7444627998964, -81.431784794592 43.7445063890801, -81.432531244659 43.7448022884458))",PIN.410700060
"POLYGON((-81.4193755897755 43.9084585948997, -81.421256246923 43.905991159286, -81.4234539022334 43.9031129094383, -81.4254941397171 43.9004405483554, -81.4275341896988 43.897768148166, -81.4242400441971 43.8964300273508, -81.4231538840967 43.8978628310572, -81.4225976470201 43.8985956192627, -81.4201929046055 43.901763341402, -81.4196871092301 43.9024404732327, -81.4160811063807 43.9071216263086, -81.4181544935292 43.907954168866, -81.4189849280662 43.9082972197139, -81.4193755897755 43.9084585948997))",PIN.410750020
"POLYGON((-81.488499379562 43.7954260082112, -81.4905195224452 43.7927657550018, -81.4891659315498 43.7921741135929, -81.4883056088579 43.7918446497454, -81.4876696748274 43.7915952554538, -81.4871834072844 43.7914082466035, -81.4860985091778 43.7909716755315, -81.4849014753171 43.790499552594, -81.4840028273353 43.7901475070825, -81.4819756382068 43.7928022574854, -81.488499379562 43.7954260082112))",PIN.410720033
"POLYGON((-81.6939427556245 43.8033435568221, -81.6994444913573 43.8033300177013, -81.6994443534292 43.8025071806706, -81.6939426920728 43.8025207195769, -81.6939427556245 43.8033435568221))",PIN.411140050
"POLYGON((-81.7088329713854 43.7420953688982, -81.7089828665045 43.7420953580977, -81.709299580873 43.7418493924197, -81.7092161640712 43.7417907717708, -81.7088329704896 43.7420810976531, -81.7088329713854 43.7420953688982))",PIN.411300036
"POLYGON((-81.5100487340792 43.4890505256011, -81.5168759612391 43.4882675192436, -81.5159573159451 43.4835991584486, -81.5089084617628 43.4844252189013, -81.5091291494782 43.4855000806252, -81.5094879222065 43.4872474203075, -81.5110424577522 43.4870764048866, -81.5109532795138 43.486642116814, -81.5127471724976 43.4864508904893, -81.5128227379896 43.4868394707966, -81.5130090922271 43.4868189585302, -81.5130795462209 43.4871582956948, -81.5125950441186 43.4872116292205, -81.5121947499469 43.4870660977885, -81.5095113290232 43.4873614177606, -81.5098346743397 43.488936143571, -81.5100487340792 43.4890505256011))",PIN.412140065
"POLYGON((-81.7161998076109 43.460296836409, -81.7161751538181 43.4601067159651, -81.7148309522572 43.4600193750822, -81.7148095055635 43.4602065017063, -81.7161998076109 43.460296836409))",PIN.412190183
"POLYGON((-81.620658781522 43.4548836129327, -81.6198860307305 43.451298443614, -81.6184162261751 43.451454101474, -81.6199248585104 43.4586300209408, -81.6214316246218 43.4584687715051, -81.620658781522 43.4548836129327))",PIN.412230013
"POLYGON((-81.6225782180658 43.4583460511538, -81.6218053117299 43.4547608984929, -81.620658781522 43.4548836129327, -81.6214316246218 43.4584687715051, -81.6225782180658 43.4583460511538))",PIN.412230012
"POLYGON((-81.6247677298641 43.4265182079553, -81.6256992220667 43.4264190503341, -81.6256378720895 43.4261232651479, -81.6251721319265 43.4261728452268, -81.6247063798707 43.4262224220554, -81.6247677298641 43.4265182079553))",PIN.412230035
"POLYGON((-81.5042011840461 43.4338249117638, -81.5044465427891 43.4337978642756, -81.5043778652953 43.4334463776853, -81.5041320480468 43.4334734498324, -81.5042011840461 43.4338249117638))",PIN.412250322
"POLYGON((-81.6268981076931 43.4185174776817, -81.6261555879499 43.4185967601646, -81.6261924966622 43.4187758853656, -81.6264060304434 43.4187530875375, -81.6269350208911 43.4186966107338, -81.6268981076931 43.4185174776817))",PIN.412280207
"POLYGON((-81.7077240454934 43.4126859584065, -81.7078747199167 43.4127114760427, -81.7078998278119 43.4126876707772, -81.7079300570945 43.4126672728408, -81.7079645512519 43.4126508601823, -81.7080023329344 43.4126388978323, -81.7080423316471 43.4126317247277, -81.7080834140799 43.4126295441086, -81.7081244162182 43.4126324177597, -81.7081641763222 43.4126402642601, -81.7084802730662 43.4124976764596, -81.7077970011797 43.4121070433514, -81.7077240454934 43.4126859584065))",PIN.412290443
"POLYGON((-81.5231355287818 43.3576334893067, -81.5234293249585 43.35907497337, -81.52478085338 43.3589334364654, -81.5244870226827 43.3574919520921, -81.5231355287818 43.3576334893067))",PIN.412340023
"POLYGON((-81.4902378154841 43.342889806508, -81.4906075757921 43.3428484753347, -81.4905996373072 43.3428106058449, -81.4902300430105 43.3428527293531, -81.4902378154841 43.342889806508))",PIN.412350187
"POLYGON((-81.4907180991651 43.3429610361288, -81.4907217584186 43.3429606290278, -81.490688193212 43.3428005117802, -81.4905996373072 43.3428106058449, -81.4906075757921 43.3428484753347, -81.4902378154841 43.342889806508, -81.4902963497304 43.3430081778866, -81.4907180991651 43.3429610361288))",PIN.412350189
"POLYGON((-81.4862264483565 43.3471112430774, -81.4862458387749 43.3472049958492, -81.4867029198901 43.3471546391801, -81.4866646712253 43.3469679612503, -81.4862072353195 43.3470183521921, -81.4862264483565 43.3471112430774))",PIN.412370076
"POLYGON((-81.4842335864172 43.3460073426144, -81.484642095366 43.3459640113929, -81.4846140480228 43.3458212827405, -81.4842059856569 43.3458645671862, -81.4842335864172 43.3460073426144))",PIN.412370149
"POLYGON((-81.47238903115 43.351151431702, -81.4724464806918 43.3514291949386, -81.4730227385283 43.3513659914841, -81.4729639286005 43.3510872137046, -81.4727191666504 43.3511145555129, -81.47238903115 43.351151431702))",PIN.412420389
"POLYGON((-81.4794547442842 43.3453101773238, -81.4800368178532 43.3452477804294, -81.4800252962382 43.3451914972122, -81.4800137783377 43.3451352140892, -81.4794321025384 43.3451995154246, -81.479443618461 43.3452558021799, -81.4794547442842 43.3453101773238))",PIN.412430024
"POLYGON((-81.6792128005631 43.3036067120404, -81.6903230527954 43.3024223940734, -81.6897589807205 43.2996865000543, -81.6895709613509 43.29877453813, -81.6888215952201 43.2951394008959, -81.6778733362295 43.2963260629287, -81.6763959888975 43.2964877794286, -81.6771447566642 43.3001174652811, -81.6773503927165 43.3011142302095, -81.6786695072021 43.3009736882468, -81.6792128005631 43.3036067120404))",PIN.412510008
"POLYGON((-81.6779164283082 43.2848728991639, -81.6864915180902 43.2839265961684, -81.6861423062115 43.282134059812, -81.6858455151331 43.2806105366861, -81.6857881393918 43.2803420699233, -81.685004452716 43.276674592195, -81.684627546097 43.2749106051779, -81.6842255180681 43.2730289210949, -81.6841281617133 43.2725732100255, -81.6717105975827 43.273944231075, -81.6718058841944 43.2743994043871, -81.6725682152117 43.2780407761314, -81.6730848867514 43.2805084329637, -81.6739131495218 43.2804383284266, -81.6740303306769 43.281004929888, -81.6732045242574 43.2810798112737, -81.6733306482767 43.2816821387894, -81.6740351910334 43.2815985412673, -81.6764248006892 43.2813149586313, -81.6765552057238 43.2820147649196, -81.674088639742 43.2823074762876, -81.674163630401 43.2826656010979, -81.6742860017293 43.2826510806237, -81.6743833510359 43.2831159346494, -81.6743536876376 43.2831194563926, -81.6744893839863 43.2837674251275, -81.6744010804861 43.2837779017135, -81.6745610585136 43.2845418145638, -81.6758054798198 43.2844054624719, -81.6764129689977 43.2843388908317, -81.677009190073 43.2842735488579, -81.6769994232905 43.2842290531926, -81.6777567195808 43.2841455120885, -81.6779164283082 43.2848728991639))",PIN.412520060
"POLYGON((-81.6771591173246 43.2849564414304, -81.6779164283082 43.2848728991639, -81.6777567195808 43.2841455120885, -81.6769994232905 43.2842290531926, -81.677009190073 43.2842735488579, -81.6771591173246 43.2849564414304))",PIN.412520061
"POLYGON((-81.6597227769434 43.2794745757915, -81.6672652362327 43.2786414923723, -81.6679643978753 43.278564240578, -81.6715587450274 43.2781650014925, -81.6723254379431 43.2780790811754, -81.6715620939821 43.274432834633, -81.6626331218854 43.2754004216066, -81.6612080571015 43.27555477402, -81.6603817120564 43.2756442684089, -81.6589260515211 43.2757996270835, -81.658934789919 43.2758399352155, -81.6597227769434 43.2794745757915))",PIN.412530014
"POLYGON((-81.6589260515211 43.2757996270835, -81.6603817120564 43.2756442684089, -81.6612080571015 43.27555477402, -81.6626331218854 43.2754004216066, -81.6715620939821 43.274432834633, -81.670800467478 43.2707943221159, -81.670038931957 43.267155795777, -81.6637444875959 43.2678583278819, -81.6640715549481 43.2696543157023, -81.6644362591092 43.2714621282333, -81.6581393883483 43.2721706110796, -81.6581469002624 43.2722052678416, -81.6589260515211 43.2757996270835))",PIN.412530015
"POLYGON((-81.6573546618393 43.2683878948161, -81.6700014801691 43.2669767368431, -81.6692323342102 43.263297839958, -81.6684796180544 43.2596970878386, -81.6637595215992 43.260219266052, -81.6576679136851 43.2608847742015, -81.6558002225534 43.2611052067693, -81.65581029257 43.2611523595445, -81.6561959355881 43.2629593158856, -81.6565772663166 43.2647459419261, -81.6573546618393 43.2683878948161))",PIN.412530018
"POLYGON((-81.6488983210525 43.2881224224269, -81.6500462935254 43.2879936967473, -81.6497355706996 43.2865710751863, -81.6506741058508 43.2864658253836, -81.6509848511406 43.2878884438408, -81.6612788584904 43.2867334498486, -81.6611565132915 43.2860866232442, -81.6609000522025 43.2849039927137, -81.6605228746952 43.2831646047225, -81.6597227769434 43.2794745757915, -81.6595322140602 43.2794956165032, -81.6588429547407 43.2795806302884, -81.6579567038982 43.2796847812989, -81.6554208763332 43.2799694770479, -81.6471302170811 43.2808962559361, -81.6479342910492 43.2845786197579, -81.6486831477515 43.2880077180191, -81.6488983210525 43.2881224224269))",PIN.412530084
"POLYGON((-81.6656136990771 43.3071135085833, -81.6686557093208 43.3067896120584, -81.6730399887074 43.3063136690546, -81.6780787020884 43.3057878103967, -81.6776859275159 43.3039529215224, -81.6652175021186 43.3053298651219, -81.6652172102793 43.3053298980529, -81.6653292855978 43.3059085518545, -81.6656136990771 43.3071135085833))",PIN.412540012
"POLYGON((-81.6651841088645 43.3051503534177, -81.6776482954272 43.3037738804248, -81.6772862884824 43.3020192537964, -81.6748323137282 43.3022600542153, -81.6746890316916 43.3015675468169, -81.6759451215795 43.3014340656651, -81.6771393749114 43.3013071450825, -81.6768968577871 43.3001315787596, -81.6767547602309 43.2994427959136, -81.6751315832551 43.2996214081421, -81.6749993526406 43.2989803324333, -81.6766225109239 43.2988017269643, -81.6761510552146 43.2965161866399, -81.6742039976648 43.2967259391061, -81.6719012695243 43.2969646026901, -81.6636390003447 43.2978772753023, -81.6644415799823 43.3015043499353, -81.6648449353977 43.3033270510409, -81.6648545602591 43.3033787902488, -81.6651841088645 43.3051503534177))",PIN.412540013
"POLYGON((-81.6535258639493 43.3103598952421, -81.6616439672246 43.3094417096371, -81.6635775116768 43.3092234050236, -81.6659913095071 43.3089482446716, -81.6657702017525 43.3078959948741, -81.6656136990771 43.3071135085833, -81.6653292855978 43.3059085518545, -81.6652172102793 43.3053298980529, -81.6527419774121 43.3067061683846, -81.6531339082084 43.3085330312029, -81.6535258639493 43.3103598952421))",PIN.412540044
"POLYGON((-81.6523048386158 43.3046917530245, -81.6549932047884 43.3044284194478, -81.6586753667567 43.3040200790457, -81.661778807715 43.303687005688, -81.66304729844 43.3035535970002, -81.6633923049621 43.3035335871393, -81.6648545602591 43.3033787902488, -81.6648449353977 43.3033270510409, -81.6644415799823 43.3015043499353, -81.6615245395712 43.3018425373856, -81.6573872498422 43.302334624849, -81.6549980374035 43.3025824499387, -81.6519180135479 43.3029100421332, -81.6523048386158 43.3046917530245))",PIN.412540046
"POLYGON((-81.5421475767796 43.2697813729088, -81.5467852492836 43.2693079345893, -81.5465602682116 43.268006977874, -81.5455219817319 43.2635096107174, -81.5451891801114 43.2620204076111, -81.5405243187119 43.262537344759, -81.5421475767796 43.2697813729088))",PIN.412570131
"POLYGON((-81.467703705571 43.4081957021638, -81.4800455382731 43.4068255180822, -81.4798091297555 43.4056617341522, -81.4793227258443 43.4032857463682, -81.4793081656375 43.4032146261118, -81.4721267724855 43.4040008729944, -81.4669717975077 43.40455547853, -81.467703705571 43.4081957021638))",PIN.412720021
"POLYGON((-81.4557729778478 43.4131777335998, -81.4681818902221 43.4118225725311, -81.46745748896 43.4082200415156, -81.4617773983874 43.4088424938616, -81.4606666793722 43.408955026151, -81.4550437134495 43.4095686247604, -81.4550693534418 43.4096955456735, -81.4557729778478 43.4131777335998))",PIN.412720035
"POLYGON((-81.4723375676233 43.4187488951536, -81.4799874036246 43.4178945639545, -81.4798680044861 43.4173307612741, -81.4821336004604 43.4170776353967, -81.4817750678521 43.4152882032136, -81.4815110479097 43.4140368020875, -81.4716116152937 43.4151403153743, -81.4723375676233 43.4187488951536))",PIN.412720058
"POLYGON((-81.47718407679 43.4554132715729, -81.4896776801751 43.4540363452096, -81.4959998098502 43.4533390364553, -81.4952681808928 43.4497195928349, -81.4889443242565 43.4503841330464, -81.4886785607749 43.4504120526314, -81.4836037535032 43.4510189093586, -81.4789854896191 43.4515425917708, -81.4764657223334 43.4518129378086, -81.47718407679 43.4554132715729))",PIN.412750119
"POLYGON((-81.2536004414309 43.5790903796608, -81.2544228613533 43.5780970388623, -81.2534288292267 43.5776895462065, -81.2526147928527 43.5786555567625, -81.2536004414309 43.5790903796608))",PIN.413010014
"POLYGON((-81.257950287747 43.5812826052153, -81.2535554285058 43.5866329931075, -81.2514825592856 43.5891561564341, -81.2537182000708 43.5901266171005, -81.2559534285492 43.5910968173592, -81.2622313673218 43.5831297274137, -81.257950287747 43.5812826052153))",PIN.413020056
"POLYGON((-81.2581107759319 43.592017419894, -81.2644541310651 43.5840886576736, -81.2622313673218 43.5831297274137, -81.2559534285492 43.5910968173592, -81.2581107759319 43.592017419894))",PIN.413020057
"POLYGON((-81.2647498365583 43.5948348676807, -81.2710512820389 43.5869343183424, -81.2688640872864 43.5859909505395, -81.2644541310651 43.5840886576736, -81.2581107759319 43.592017419894, -81.2602681871968 43.5929379803558, -81.2603158445422 43.5929581318457, -81.2625089828496 43.5938864365881, -81.2647498365583 43.5948348676807))",PIN.413020058
"POLYGON((-81.2266560659754 43.6266660929729, -81.2298455551376 43.6227600906231, -81.2254862794906 43.6208356650426, -81.2211620344248 43.6189264110769, -81.2179816883412 43.6227884406137, -81.2179176808779 43.62286615989, -81.2266560659754 43.6266660929729))",PIN.413030028
"POLYGON((-81.2353781167398 43.6304577669361, -81.2402600086477 43.6244917790774, -81.235914736391 43.6225894375002, -81.2310247439569 43.6285654007645, -81.2353781167398 43.6304577669361))",PIN.413030033
"POLYGON((-81.2310247439569 43.6285654007645, -81.235914736391 43.6225894375002, -81.2402600086477 43.6244917790774, -81.245032898948 43.6186576638835, -81.2384437324298 43.6158795357407, -81.2319816089002 43.6236372862363, -81.2298455551376 43.6227600906231, -81.2266560659754 43.6266660929729, -81.2310247439569 43.6285654007645))",PIN.413030034
"POLYGON((-81.236791104286 43.6505241043323, -81.2426609977125 43.6434100576374, -81.2404572401892 43.6424780679541, -81.2345633965088 43.6496098043454, -81.2359959723422 43.6501989010299, -81.236791104286 43.6505241043323))",PIN.413040033
"POLYGON((-81.2345633965088 43.6496098043454, -81.2404572401892 43.6424780679541, -81.238278186065 43.6415564508693, -81.2339597729192 43.6396665094125, -81.2279553195293 43.6468920613651, -81.2319761907324 43.6485458249339, -81.2345633965088 43.6496098043454))",PIN.413040036
"POLYGON((-81.248622811983 43.6361825846053, -81.2535821379855 43.6301688688648, -81.2514464010129 43.6292841134073, -81.2491676223574 43.628361987483, -81.2442642622386 43.6343041162718, -81.2459433932177 43.6350278281918, -81.2470746932153 43.6355154007096, -81.248622811983 43.6361825846053))",PIN.413040044
"POLYGON((-81.2530021733097 43.6380697341142, -81.2578877849392 43.632160019256, -81.2535821379855 43.6301688688648, -81.248622811983 43.6361825846053, -81.2530021733097 43.6380697341142))",PIN.413040048
"POLYGON((-81.2456455587289 43.6541449025375, -81.2514635011283 43.6471103716354, -81.2470174333717 43.6453071187709, -81.2412080808726 43.6523304556795, -81.2456455587289 43.6541449025375))",PIN.413040053
"POLYGON((-81.2412080808726 43.6523304556795, -81.2470174333717 43.6453071187709, -81.2530021733097 43.6380697341142, -81.248622811983 43.6361825846053, -81.2426609977125 43.6434100576374, -81.2449642702105 43.6443840568167, -81.2389932993613 43.6514247418534, -81.2412080808726 43.6523304556795))",PIN.413040054
"POLYGON((-81.2604827473383 43.6508944994995, -81.266332054365 43.6438186142139, -81.2641754204267 43.642886559194, -81.2620137941525 43.6419522715518, -81.2560934286091 43.6490795143013, -81.2604827473383 43.6508944994995))",PIN.413040055
"POLYGON((-81.2626937305709 43.6518086374675, -81.2685547592862 43.6447791506176, -81.2685526643019 43.6447782463256, -81.266332054365 43.6438186142139, -81.2604827473383 43.6508944994995, -81.2626937305709 43.6518086374675))",PIN.413040056
"POLYGON((-81.4578175213631 43.6889905565887, -81.4642417748551 43.6812052233844, -81.4627492990899 43.6805721413516, -81.4599368456165 43.679303210843, -81.4585591296931 43.6809942089583, -81.4578952350866 43.6817892212768, -81.4576370285083 43.6820963934668, -81.4566902897808 43.6832256799603, -81.4559402456854 43.6841200714573, -81.4534744986641 43.6871014283256, -81.4555646741719 43.6880106492317, -81.4562662646269 43.687170370186, -81.45738536301 43.6876571469655, -81.456683788599 43.6884974316321, -81.4578175213631 43.6889905565887))",PIN.413180029
"POLYGON((-81.4491311753286 43.6852118857826, -81.4501206302063 43.6840350863002, -81.4511658202414 43.6827794075496, -81.4523708195774 43.6813340037814, -81.4535039306682 43.6799710762391, -81.4537601511382 43.6796627554823, -81.4554073371874 43.6776483066313, -81.4556184170223 43.6773937871915, -81.4513481643143 43.6754596622913, -81.4447869103572 43.6833216459842, -81.4491311753286 43.6852118857826))",PIN.413180031
"POLYGON((-81.3723422952537 43.6984872514857, -81.3743011723448 43.696193842954, -81.3754094495948 43.6948216040197, -81.3778744858372 43.6918513146169, -81.3777806222936 43.6918108332506, -81.3734819343801 43.6899566223842, -81.3733525046742 43.6899007873431, -81.3710171138712 43.6888933051422, -81.3699598380055 43.6884735413476, -81.3690463845279 43.6881150058071, -81.3644314496205 43.6937185415096, -81.3665607055322 43.6946702316606, -81.3662282995049 43.6951034875716, -81.3656778526809 43.6957298885259, -81.3718695502327 43.6982997037962, -81.3721308242836 43.6984069023218, -81.3723422952537 43.6984872514857))",PIN.413240014
"POLYGON((-81.4289129493348 43.7323837397583, -81.4292143896489 43.7319865900768, -81.428996905392 43.7318959740556, -81.4287794268556 43.7318053568155, -81.4286287091564 43.7320039333726, -81.4284778108878 43.7322027382833, -81.4286953791098 43.7322932396765, -81.4289129493348 43.7323837397583))",PIN.413260040
